companyName,CIN,GSTIN,phone,email,address,startDate,renewalDate,category,directors,description,status
Corp Services,U03TKPCLO6URL0AUA7PZWL,GGDEANKLS388KQ56O,7761143103,corpservices878@gmail.com,"73 MG Road, Andheri, Chennai, Tamil Nadu",2024-05-22,2025-04-17,Media,"75158987, 67791170",Involved in various business activities.,vacated
Global Technologies,UN1UMHBMU5B7A9NOZYWNEA,Z9DEIR4CWIO3LA6J8,2202999898,globaltechnologies757@gmail.com,"9 Tilak Road, Indiranagar, Pune, Uttar Pradesh",2024-08-01,2025-06-27,E-commerce,"32753386, 65653949",Involved in various business activities.,inactive
Systems Solutions,UFTL1OHVBJG3SK0LKIJTSQ,PCDEOVJJHH54GDZ5P,8218933663,systemssolutions538@gmail.com,"49 Main Road, Bandra, Ahmedabad, Tamil Nadu",2024-01-12,2024-12-07,Retail,"38046800, 30438493",Involved in various business activities.,vacated
Limited Limited,UUM039EKQYX9M1G1RLS0YT,J2DE31J1I3IE1CSOO,6829206879,limitedlimited272@gmail.com,"11 Main Road, Bandra, Delhi, Tamil Nadu",2022-07-05,2023-05-31,Education,"35194806, 78711145",Involved in various business activities.,inactive
Solutions Solutions,UFS5DYTT0W4FA95JPOFY4V,IRDEEXPBGSMLIIWEF,7955125734,solutionssolutions177@gmail.com,"40 Tilak Road, Indiranagar, Surat, Karnataka",2022-02-18,2023-01-14,Retail,"16228202, 48412018",Involved in various business activities.,vacated
Digital Consulting,UXA7I920V393XJ053O4HQW,IQDEI3MDGNKGVQ58K,2385741877,digitalconsulting780@gmail.com,"38 Main Road, Indiranagar, Mumbai, Tamil Nadu",2023-07-30,2024-06-24,Manufacturing,"46854814, 66573567",Involved in various business activities.,vacated
Solutions Technologies,UFEAT0667JER9QILYIKWQ0,UZDE2LQUIJT6KLUU4,7957735411,solutionstechnologies308@gmail.com,"42 Park Street, Indiranagar, Pune, Maharashtra",2022-09-10,2023-08-06,Retail,"26892532, 86440622",Involved in various business activities.,inactive
Solutions Services,UAWJI6DW9NRNA207C1FCAR,WODEQU2NU1KKEYT4C,3254206595,solutionsservices273@gmail.com,"20 Sarat Bose Road, Andheri, Kolkata, Tamil Nadu",2024-03-30,2025-02-23,Healthcare,"44374993, 79177680",Involved in various business activities.,vacated
Global Group,UFN0M3T8S1ZJ9N9W116X3I,NMDES2J6R0AT0HI1X,6878525744,globalgroup590@gmail.com,"31 Sarat Bose Road, HSR Layout, Surat, Uttar Pradesh",2022-09-04,2023-07-31,Healthcare,"22712601, 97441259",Involved in various business activities.,active
Innovative Technologies,UC63P9SRZ7MCF8Z0JT5D27,XZDELJPKFC4LSXI9Q,8158810752,innovativetechnologies431@gmail.com,"42 Park Street, Koramangala, Pune, Bihar",2024-06-24,2025-05-20,Finance,"32230678, 98497868",Involved in various business activities.,vacated
Corp Solutions,UP30CDEHZ9OPD5Y982HKF1,XADECYI1J3YJUDIYJ,2009670061,corpsolutions170@gmail.com,"18 Park Street, Andheri, Surat, Bihar",2021-12-15,2022-11-10,Healthcare,"66959634, 59530025",Involved in various business activities.,active
Inc Technologies,U0OUPM4TMHXU4227FFBNEB,8RDEOOWUFGS8ST9BP,4275939498,inctechnologies972@gmail.com,"89 Sarat Bose Road, Andheri, Surat, Andhra Pradesh",2024-05-03,2025-03-29,Construction,"43947281, 78292068",Involved in various business activities.,active
Group Industries,UKG2XTN6SXLGNQEWJ6D952,L1DETZX1JHYD2ZWH6,4919102059,groupindustries647@gmail.com,"44 Tilak Road, Indiranagar, Delhi, Madhya Pradesh",2023-02-26,2024-01-22,Advertising,"92134521, 24600085",Involved in various business activities.,vacated
Smart Group,UH7K3UEYM0H0Q4YV71CHAO,WMDE4T72NIXSEYV5D,8972836101,smartgroup937@gmail.com,"33 Park Street, HSR Layout, Ahmedabad, Maharashtra",2023-08-07,2024-07-02,Education,"80852773, 76579146",Involved in various business activities.,inactive
Inc Corporation,U4FOOG6TM8DII7HB03WN6I,OXDEFXYCWWPLBMSK5,8647352352,inccorporation519@gmail.com,"18 Park Street, Andheri, Ahmedabad, Tamil Nadu",2022-04-20,2023-03-16,Finance,"50707804, 67996097",Involved in various business activities.,active
Solutions Technologies,UYT1008PRU11TTJ3K9S4GH,Z9DEN9Y5UZ7899NII,1787340512,solutionstechnologies573@gmail.com,"67 Main Road, Indiranagar, Delhi, Telangana",2024-06-03,2025-04-29,Finance,"98334882, 38913350",Involved in various business activities.,inactive
Innovative Industries,UBQTDIO1Y9J4LAKO2CW41Y,JSDEBD564S36W7SZX,1746702652,innovativeindustries472@gmail.com,"35 Tilak Road, Andheri, Pune, Bihar",2024-07-07,2025-06-02,IT services,"67439863, 48468310",Involved in various business activities.,inactive
Limited Technologies,U0PQGM4KBJJQOMIBBX3FQE,MADEAVHT4M83Q338G,4955085780,limitedtechnologies807@gmail.com,"41 Tilak Road, Indiranagar, Delhi, Maharashtra",2023-05-11,2024-04-05,E-commerce,"15828304, 62783886",Involved in various business activities.,inactive
Corp Enterprise,UGZVVWIJTUW48AFHATV6UY,XEDEYF03J4FS4S81A,3836216373,corpenterprise771@gmail.com,"36 Main Road, Indiranagar, Ahmedabad, Telangana",2022-06-08,2023-05-04,Manufacturing,"31588535, 90681846",Involved in various business activities.,inactive
Limited Enterprise,U7BJGMWYMLEH5VGPUSVEYX,BADE2X6OXICAAE7H2,9974716814,limitedenterprise359@gmail.com,"11 Main Road, Bandra, Pune, Madhya Pradesh",2022-06-15,2023-05-11,Retail,"35266451, 52245299",Involved in various business activities.,vacated
Global Industries,UMKUKR3FY842OCTU1O78I2,HPDES8NEH8F74OU4H,5074238555,globalindustries543@gmail.com,"68 MG Road, Indiranagar, Pune, Telangana",2023-04-06,2024-03-01,Advertising,"44400735, 85470284",Involved in various business activities.,active
Creative Consulting,UIZ8QT1X5XK1ZVCKNHVKX5,UJDERX5DLKOHQ9ISO,2531341265,creativeconsulting682@gmail.com,"10 MG Road, Koramangala, Ahmedabad, Uttar Pradesh",2024-11-09,2025-10-05,Media,"77722358, 31899991",Involved in various business activities.,inactive
Innovative Enterprise,UJKW36I3KGJRQYP83A4LR3,FMDE57L478QDK9SYJ,7043698588,innovativeenterprise105@gmail.com,"69 Tilak Road, Andheri, Delhi, Madhya Pradesh",2023-04-24,2024-03-19,Advertising,"21176266, 70144817",Involved in various business activities.,vacated
Digital Corporation,UHP1GC9BNFHSXZRSRMXV6A,KRDEVWX2HJ4ORSVRE,4017242299,digitalcorporation307@gmail.com,"9 MG Road, HSR Layout, Ahmedabad, Bihar",2023-12-19,2024-11-13,Manufacturing,"36539165, 19246053",Involved in various business activities.,active
International Industries,URGHOHYDTDSF0O1U45EHHF,UDDEBULH6ONLOA1MA,1577690079,internationalindustries409@gmail.com,"16 Main Road, HSR Layout, Jaipur, Gujarat",2023-08-01,2024-06-26,Education,"63268743, 34353927",Involved in various business activities.,inactive
Group Technologies,UUMFKV81ELUZ4BV9F8SA5J,O7DET0EVJG10PL8G8,7028956740,grouptechnologies280@gmail.com,"68 Main Road, HSR Layout, Jaipur, Telangana",2023-08-21,2024-07-16,Media,"10530698, 25099394",Involved in various business activities.,vacated
Digital Technologies,U6POTIBFU7H71IQDC9PFQM,Y9DEJST6CITZ8CSV9,5342807414,digitaltechnologies870@gmail.com,"12 Tilak Road, HSR Layout, Mumbai, Gujarat",2022-02-04,2022-12-31,Finance,"94414166, 21820673",Involved in various business activities.,vacated
Tech Enterprise,UJ940HQXIVJYDVIZQ2WJY5,V2DEVJ9JR7V8SEGC1,3802882950,techenterprise236@gmail.com,"56 Sarat Bose Road, Koramangala, Surat, Madhya Pradesh",2023-02-06,2024-01-02,Advertising,"27237510, 58428844",Involved in various business activities.,active
Group Services,UVMFJ1OVGIXBEN5K3YFKG8,EIDE7WBSK5OFKDU0G,6838615204,groupservices100@gmail.com,"57 Park Street, HSR Layout, Surat, Tamil Nadu",2024-03-16,2025-02-09,IT services,"96980741, 13148821",Involved in various business activities.,inactive
Future Technologies,UJE48HTQIUXMJJC0BYQNCA,0ODEJK6EKYF0FJUJU,9023400865,futuretechnologies192@gmail.com,"6 Sarat Bose Road, Andheri, Mumbai, Madhya Pradesh",2022-08-20,2023-07-16,Manufacturing,"91288968, 20166241",Involved in various business activities.,active
Innovative Enterprise,UZ8H4C3LQVB1Z8CGMDTY7E,74DEDJXAFD3KZC0OY,5008332601,innovativeenterprise427@gmail.com,"37 MG Road, Andheri, Surat, Madhya Pradesh",2023-12-11,2024-11-05,Finance,"29501145, 91426337",Involved in various business activities.,inactive
Digital Corporation,UZEOIGN94CQZ0B21HBC0TK,52DEGNV3T6EKVU680,6837398972,digitalcorporation544@gmail.com,"4 Park Street, Andheri, Chennai, Gujarat",2024-10-13,2025-09-08,Advertising,"94767965, 85352625",Involved in various business activities.,active
Future Enterprise,UPOBKF02GYKPIFOESEKO3B,PFDEN6IF8L28QYZ4W,3366760355,futureenterprise805@gmail.com,"83 MG Road, Andheri, Delhi, Andhra Pradesh",2022-11-30,2023-10-26,E-commerce,"73570871, 71076841",Involved in various business activities.,inactive
Tech Group,U93MUFS6GPNNOSQ9ZLIX8B,HJDEGEZZESM0GFEUW,7481366276,techgroup477@gmail.com,"49 MG Road, Indiranagar, Chennai, Maharashtra",2024-11-18,2025-10-14,Healthcare,"58432286, 68480967",Involved in various business activities.,inactive
Limited Industries,U669O71CUY63RH3QFG7T7E,6MDEGFGO60XQOKJEQ,9513500644,limitedindustries965@gmail.com,"89 Sarat Bose Road, Andheri, Pune, Telangana",2022-04-28,2023-03-24,Education,"77943101, 30460051",Involved in various business activities.,active
Systems Enterprise,UC6B3X0W67HSB62VZJZU52,SODEP2BJZOQDNTUKC,4669896626,systemsenterprise760@gmail.com,"43 Sarat Bose Road, Bandra, Chennai, Uttar Pradesh",2022-06-18,2023-05-14,Manufacturing,"68817371, 97121250",Involved in various business activities.,vacated
Group Corporation,UCGW6RE1BCTB6DY4F3S7E1,1FDELCMW0Y0K55VG7,6729145885,groupcorporation488@gmail.com,"27 Park Street, HSR Layout, Kolkata, Bihar",2024-04-04,2025-02-28,Finance,"18780044, 48064562",Involved in various business activities.,vacated
Future Group,U5WRVN6ZSOZFC8XWJR6QJR,XMDERGP8Y0CHLEJ9F,8978862753,futuregroup812@gmail.com,"10 Main Road, HSR Layout, Mumbai, Gujarat",2023-11-17,2024-10-12,Education,"76838846, 19770897",Involved in various business activities.,vacated
International Solutions,ULE3MI8JN8EJVZ7564258K,0RDEYXP5WXQKJYOZC,9377257039,internationalsolutions590@gmail.com,"94 MG Road, Andheri, Surat, Bihar",2023-02-04,2023-12-31,E-commerce,"35362646, 73177522",Involved in various business activities.,inactive
Global Enterprise,U23IHAMORX9B8678VDIDI6,ITDEKCELUA7Z4ZSVW,9316386252,globalenterprise595@gmail.com,"92 Park Street, HSR Layout, Bangalore, Maharashtra",2022-06-30,2023-05-26,Manufacturing,"59381600, 23830645",Involved in various business activities.,active
International Technologies,U34W7NLX14Q9M0JT0Y68AJ,Q0DER2IOVQRBVD72Q,4208442053,internationaltechnologies191@gmail.com,"67 Sarat Bose Road, Andheri, Mumbai, Andhra Pradesh",2022-04-02,2023-02-26,IT services,"10792142, 58962302",Involved in various business activities.,active
Future Partners,UQV986DOR5G8ZIMHOBGQW4,JVDEBUV43XEE7D9AD,7361538128,futurepartners579@gmail.com,"91 Park Street, Bandra, Chennai, Tamil Nadu",2024-03-25,2025-02-18,Advertising,"39342330, 91642699",Involved in various business activities.,vacated
Tech Consulting,UI2VJNESVUPF7DWRAF4UNK,LVDE1L7CEWVFEDALL,9196366751,techconsulting853@gmail.com,"51 Main Road, Indiranagar, Jaipur, Andhra Pradesh",2024-09-08,2025-08-04,E-commerce,"82533991, 17311200",Involved in various business activities.,vacated
International Technologies,UWJEZNYWP372A753MIE4GU,NDDE2YK61UEGT8OWL,7302655994,internationaltechnologies644@gmail.com,"11 Main Road, Indiranagar, Pune, Andhra Pradesh",2022-08-17,2023-07-13,Manufacturing,"40237864, 83836651",Involved in various business activities.,inactive
Enterprise Corporation,UA7M19I9V8O58L8W0NAYCG,BIDEVG8RHP4CQUTVF,1306835486,enterprisecorporation389@gmail.com,"7 Main Road, Koramangala, Mumbai, Bihar",2023-05-18,2024-04-12,Construction,"37360405, 46977985",Involved in various business activities.,vacated
Enterprise Partners,UI9SD6NOYEHTD6I5ENIWT3,GWDEARJWJ20EQPLGX,6113355813,enterprisepartners665@gmail.com,"66 Park Street, Andheri, Surat, Bihar",2022-01-30,2022-12-26,Retail,"51988509, 86238940",Involved in various business activities.,active
Creative Limited,URRX22JM1AJWI4JHGKQDPR,YZDEJ0QLGWUL5UM68,9872417003,creativelimited987@gmail.com,"87 Sarat Bose Road, HSR Layout, Mumbai, Madhya Pradesh",2021-12-17,2022-11-12,Retail,"18385521, 79281340",Involved in various business activities.,inactive
Digital Group,UGC6YFQWOBS976YZ4LOP0H,BHDE55VOJC7VE6CX1,1592839741,digitalgroup926@gmail.com,"10 Park Street, Koramangala, Delhi, Uttar Pradesh",2022-10-26,2023-09-21,E-commerce,"17457092, 99422598",Involved in various business activities.,active
Systems Limited,U57BT1VGHMECCGM9827K88,GTDE4XGIZ484HJN02,2477254486,systemslimited924@gmail.com,"39 MG Road, HSR Layout, Ahmedabad, West Bengal",2024-09-27,2025-08-23,Media,"29501115, 18988218",Involved in various business activities.,vacated
International Services,UTEVIX4UK9ASJHXO4JNMK9,78DEVN3F9I78ZOZVP,2295332905,internationalservices682@gmail.com,"62 Park Street, Indiranagar, Hyderabad, Telangana",2024-01-06,2024-12-01,Manufacturing,"11524088, 56744566",Involved in various business activities.,active
Innovative Enterprise,UWGMLLWZGJP8ZHI2NWE0GV,LJDE6FDOV4POE3OWP,3906758132,innovativeenterprise451@gmail.com,"64 MG Road, Indiranagar, Kolkata, Uttar Pradesh",2023-12-13,2024-11-07,IT services,"74749079, 24878138",Involved in various business activities.,active
Limited Services,U2CJ2GRP66HPJL4GUIJMTJ,H9DESMEWDJQ8QM1F5,5588228986,limitedservices648@gmail.com,"53 Main Road, Andheri, Delhi, West Bengal",2022-02-19,2023-01-15,Advertising,"12472482, 65891628",Involved in various business activities.,vacated
Solutions Partners,UQO7AQJ7DV2X0DV2T1RZHV,64DE5ML26VEWIJDQL,6643331367,solutionspartners455@gmail.com,"99 Tilak Road, Andheri, Delhi, Gujarat",2022-06-15,2023-05-11,Finance,"13248897, 33248886",Involved in various business activities.,vacated
Global Industries,UK0M1KYJBVWLW38B6US6HO,5NDEVWX3729VEKWS9,5329273942,globalindustries741@gmail.com,"71 Tilak Road, Indiranagar, Mumbai, Maharashtra",2022-10-02,2023-08-28,Retail,"18595706, 33684954",Involved in various business activities.,inactive
Smart Partners,U173Z9BDN18JSG4XVQATVU,ACDEQR6HSYSXO81WI,8292170645,smartpartners717@gmail.com,"96 Sarat Bose Road, Andheri, Hyderabad, Telangana",2023-11-16,2024-10-11,Finance,"71036018, 74678597",Involved in various business activities.,vacated
Creative Solutions,UOPTTJ8O3TN1C25RJJVE6Z,F8DE06L3BOTIROU7Q,6961397902,creativesolutions139@gmail.com,"59 Park Street, Bandra, Surat, Gujarat",2024-01-02,2024-11-27,Finance,"16254871, 89378867",Involved in various business activities.,inactive
Smart Solutions,UCHW3JBFPBPD2C13PLKBA4,NPDEOZJCAHTQ7V24D,2702488382,smartsolutions708@gmail.com,"67 MG Road, Indiranagar, Bangalore, Uttar Pradesh",2023-12-26,2024-11-20,Manufacturing,"65518342, 63245530",Involved in various business activities.,active
Tech Group,U4UDJ3JBNDL8T8UU16R8XF,YRDEB7MXJKTKWOKUI,5843270013,techgroup994@gmail.com,"18 MG Road, Bandra, Chennai, Telangana",2023-05-27,2024-04-21,Healthcare,"91996996, 72102262",Involved in various business activities.,inactive
International Solutions,UVO96NQO3C5GCF2BC8TZ3E,2HDER8KKEUPY1GKY8,3497759921,internationalsolutions297@gmail.com,"50 Sarat Bose Road, Koramangala, Pune, Andhra Pradesh",2023-03-04,2024-01-28,Construction,"29255538, 68882672",Involved in various business activities.,vacated
Digital Group,U2BL4VYPYVOPW03WVU8531,54DE5TWGG7U79MZFW,7072779743,digitalgroup787@gmail.com,"79 Tilak Road, Bandra, Kolkata, Tamil Nadu",2021-12-28,2022-11-23,Manufacturing,"58285841, 49680702",Involved in various business activities.,active
Digital Technologies,U08K12X71YSS06V3I53NDZ,4TDEA6APSBBY3IM8Q,3515465637,digitaltechnologies888@gmail.com,"77 Main Road, Bandra, Ahmedabad, Telangana",2021-12-25,2022-11-20,E-commerce,"17097812, 48376173",Involved in various business activities.,inactive
Future Limited,UI0DIKU7YHDPBEL7FG5HGV,N1DEBGKNNBIUANCHP,9586795721,futurelimited271@gmail.com,"75 Sarat Bose Road, Andheri, Mumbai, Tamil Nadu",2023-05-15,2024-04-09,IT services,"26842359, 46889078",Involved in various business activities.,vacated
Smart Corporation,U9YF6EWS73COGUYCGYI1KG,95DERJLHBGSCKPJN7,2541413389,smartcorporation254@gmail.com,"8 MG Road, Bandra, Jaipur, Tamil Nadu",2023-03-31,2024-02-24,Finance,"33559274, 55725680",Involved in various business activities.,active
Tech Technologies,U11TWV3O9F7OJVQZNV2OTB,TLDEBTHSFDITVJM1O,3282740368,techtechnologies951@gmail.com,"34 Tilak Road, HSR Layout, Delhi, Uttar Pradesh",2023-12-31,2024-11-25,Manufacturing,"26319262, 60730402",Involved in various business activities.,active
Inc Industries,URKD63SMLPNRPZW3H80TR1,0YDEW1UQ440TYJ6CO,3712615125,incindustries425@gmail.com,"25 Park Street, Indiranagar, Surat, Tamil Nadu",2022-12-28,2023-11-23,Finance,"57698858, 79032474",Involved in various business activities.,vacated
Enterprise Solutions,U3UL2ZRWUHTT8K78HB50MG,M5DEXAWRJ801X9NX2,4345085534,enterprisesolutions993@gmail.com,"57 Sarat Bose Road, Bandra, Ahmedabad, Gujarat",2024-12-02,2025-10-28,Construction,"58769094, 66462135",Involved in various business activities.,active
Systems Partners,UUKZCCT45W4PBQEU64HXRY,DVDE6R40YZKLKBHCO,4675322056,systemspartners517@gmail.com,"38 Main Road, Andheri, Hyderabad, Andhra Pradesh",2023-02-02,2023-12-29,Construction,"64166323, 86784259",Involved in various business activities.,active
Smart Consulting,ULWHSUUSSDRO1NMW7OFRPS,J7DEGM3GFBVGNU3JA,4837765925,smartconsulting382@gmail.com,"3 MG Road, Andheri, Ahmedabad, Maharashtra",2024-06-11,2025-05-07,Education,"83002903, 25953663",Involved in various business activities.,vacated
Corp Services,UYVA62HZ8L5YKOOLYKJ6NB,L0DEA2U1KMMZYUXHI,6664683642,corpservices823@gmail.com,"82 MG Road, HSR Layout, Chennai, Madhya Pradesh",2023-01-20,2023-12-16,Healthcare,"23463926, 58302946",Involved in various business activities.,inactive
Tech Limited,ULWWQFCMGFFGYAFBW3A0C8,NQDE67KZCFQ7ISAS0,8949119465,techlimited686@gmail.com,"36 MG Road, Koramangala, Mumbai, Bihar",2024-05-31,2025-04-26,Media,"87883432, 42176765",Involved in various business activities.,inactive
Corp Partners,UUYV287X6HJUAFJES34KOX,R5DEGYRXUP3BDRDFK,1064873072,corppartners807@gmail.com,"66 MG Road, Indiranagar, Delhi, Telangana",2023-01-18,2023-12-14,Media,"46943397, 59610599",Involved in various business activities.,inactive
Future Technologies,U5NRF8R4JQO035SHML8A9P,PTDEHB3W889HCYG1U,1538016330,futuretechnologies204@gmail.com,"62 Park Street, Indiranagar, Ahmedabad, Telangana",2023-01-10,2023-12-06,Finance,"84102777, 96944257",Involved in various business activities.,inactive
Enterprise Industries,UX4X3T1O45HOV6W8W1CX8E,SADEKDBH6FOQKQMBW,9156530309,enterpriseindustries328@gmail.com,"97 Tilak Road, Indiranagar, Surat, Maharashtra",2023-02-22,2024-01-18,IT services,"40754639, 46094849",Involved in various business activities.,vacated
Digital Solutions,U75SY1R5Y9SZP4ADXCXZ2C,LRDE46OD2JUI8J9S0,4052654635,digitalsolutions672@gmail.com,"18 MG Road, Indiranagar, Surat, Maharashtra",2024-08-27,2025-07-23,Media,"73509248, 13950871",Involved in various business activities.,inactive
Smart Services,UZAG2H21E1FO6NSG6QOSQC,SSDED1R9WPL4MU2TU,6106348454,smartservices894@gmail.com,"21 Main Road, HSR Layout, Kolkata, Telangana",2024-07-01,2025-05-27,Advertising,"84190632, 10928800",Involved in various business activities.,active
Future Industries,U5USIRM2CQSLXST5HH574L,ASDEV8JN63V3U7ABG,5293916769,futureindustries186@gmail.com,"11 Main Road, Koramangala, Hyderabad, Telangana",2022-05-09,2023-04-04,Construction,"24211037, 22213199",Involved in various business activities.,inactive
Creative Technologies,UTM0VG859DOYU7NLOQUABA,2HDEJI8YTO9CERYLF,8269049297,creativetechnologies134@gmail.com,"89 Tilak Road, Koramangala, Kolkata, West Bengal",2023-09-28,2024-08-23,Advertising,"43144517, 56915432",Involved in various business activities.,vacated
Limited Consulting,UE7E8HX6FLSBROHHZAHQ2A,54DEC5I9H0QCE5PMC,7477173959,limitedconsulting807@gmail.com,"61 Sarat Bose Road, Indiranagar, Ahmedabad, Gujarat",2024-08-11,2025-07-07,IT services,"87008444, 26386074",Involved in various business activities.,inactive
